symb,a,nu,H
AEX,0.5329984584157392,0.6639876026356107,0.1767590799206163
AORD,1.7057672959395054,0.7420949358291852,0.2926418788239849
BFX,0.6304944738491486,0.615424247423679,0.1905654605724576
BSESN,3.611533543085289,1.2173935091649206,0.5494859736847365
BVSP,4.1832109804499655,0.9599029997414386,0.44218217348160005
DJI,0.5902624120094426,0.7374394475403855,0.1681711059719265
FCHI,0.5397987360994596,0.6465275930673956,0.17840065504279137
FTSE,0.5600132562891328,0.6402220385511526,0.1744940201821646
GDAXI,0.3433877621417213,0.6336450306000241,0.16508532850789753
HSI,0.7506596471557478,0.5155728357984827,0.2685634460262886
IBEX,0.5306951739744109,0.625077182228122,0.16718755510135402
IXIC,0.4306246702538624,0.7215333020468806,0.1555194331526338
KS11,0.45904579841695176,0.6035724758142008,0.23572767226770575
KSE,4.965406405310254,1.5513494500135458,0.6094903581898296
MXX,0.8822793765853016,0.6233029976593524,0.1465634866172134
N225,0.9743205117282119,0.6309314311993579,0.2493921313134354
NSEI,2.7874388893401716,1.0693754059601674,0.45629231362006256
RUT,1.4022744157102658,0.7706762800296814,0.18498724828653623
SPX,0.5599996196842557,0.7633698905648872,0.16680665057131908
SSEC,1.6557632859704816,0.8456191261641213,0.28858732973612045
SSMI,0.8672926084815585,0.6353111129634819,0.21180364333448087
S5E,0.5214051184059212,0.6784986125994802,0.15005968962140367
