symb,a,nu,H
AEX,0.555414980720729,0.6689163516356507,0.1763766211693935
AORD,1.5806008149167172,0.7237230807342381,0.27948840395634916
BFX,0.6620945361833509,0.6221531233395967,0.19103447574437232
BSESN,0.6508273037926919,0.619402977467628,0.22368646797115202
BVSP,1.435745990245361,0.6104625551994055,0.19451724135528886
DJI,0.6405596718233394,0.7392957420698213,0.17785457532612153
FCHI,0.5049363007703179,0.641144238894986,0.17214003349349125
FTSE,0.6238946412473878,0.648201171188915,0.18324272556568175
GDAXI,0.3996890218215529,0.6444346057521422,0.17303473806925596
HSI,0.785418181029102,0.506483838998819,0.30910482673241346
IBEX,0.5932389011606525,0.6356193206357139,0.1712784306605967
IXIC,0.4214041315070888,0.7053751006786295,0.16409232105288915
KS11,0.5239062863499656,0.564453744883565,0.32468229704323964
KSE,4.097377169003992,1.2394554307192178,0.43448997723532184
MXX,0.9820886841493304,0.6359958407842344,0.14713844298137166
N225,0.9354945218762928,0.6375265875056706,0.2173043539489101
NSEI,0.8443322645753873,0.7255127543244605,0.19476263069818972
RUT,1.4895788235262843,0.7894596782174578,0.17059964661129803
SPX,0.6135941220454041,0.7655449214468024,0.17732375478284312
SSEC,0.6428125812938891,0.6382209300516724,0.2555640931116723
SSMI,0.8863614342060908,0.6297270196818494,0.22608346550907424
S5E,0.5935450657152785,0.7024046374934189,0.1464199113736192
